StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,code,gameplay,groupsize,experience,roundnum,playagain,complexity,enjoy,speed,effort,anxious,stressed,compsuccess,difficulty,aesthetics,aestheticscare,enjoymost,theme,win
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter the code provided to you. If you do not remember it, reach out to your leader before you continue.",The questions in this survey are for Chronology. Did you play it?,How many people played in your group?,Had you played this game before playing with your recent group?,How many rounds of this game did you play with your group?,How likely are you to play this game again?,"Compared with other games, how would you rate the complexity of this game?",To what extent did you like playing this game?,To what extent do you agree that playing this game required speed?,To what extent do you agree that playing this game required mental effort?,To what extent do you agree that playing this game among others make you feel anxious?,To what extent do you agree that playing this game among others make you feel stressed?,"Compared with the other players in your group, how would you rate your ability to succeed at playing this game?","In terms of your own ability, how would you describe the difficulty of playing this game?",How would you characterize the aesthetics (look and feel) of this game?,To what extent do you care about the aesthetics (look and feel) of a game?,Which of the following best describes what you liked most about playing this game?,To what extent did you like the theme of this game?,Did you win while playing this game with your group?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2022-09-20 23:59:07,2022-09-21 00:00:41,0,134.173.192.68,100,93,1,2022-09-21 00:00:41,R_UKrqRnQJX1fEolX,,,,,34.1091,-117.7126,anonymous,EN,1701,1,6,2,2,2,5,4,4,1,2,1,5,5,3,0,1,3,0
2022-09-20 23:59:34,2022-09-21 00:01:01,0,134.173.248.16,100,87,1,2022-09-21 00:01:02,R_308YMhm09WZ0xjo,,,,,34.1091,-117.7126,anonymous,EN,1704,1,6,1,2,6,5,1,2,2,4,4,6,5,3,1,3,5,1
2022-09-20 23:59:58,2022-09-21 00:01:14,0,134.173.192.69,100,76,1,2022-09-21 00:01:14,R_svsm3LW8zaALOed,,,,,34.1091,-117.7126,anonymous,EN,Shalini Shyamkumar,1,6,2,2,1,5,3,5,2,1,2,3,5,3,2,3,3,1
2022-09-20 23:58:58,2022-09-21 00:01:31,0,134.173.192.68,100,152,1,2022-09-21 00:01:31,R_1kMJUfMzSb8MRFn,,,,,34.1091,-117.7126,anonymous,EN,1702,1,6,2,2,5,3,2,4,3,2,1,6,4,3,3,2,5,0
2022-09-20 23:59:41,2022-09-21 00:03:06,0,134.173.192.68,100,205,1,2022-09-21 00:03:07,R_3ikwyd5IW2dryzL,,,,,34.1091,-117.7126,anonymous,EN,1705,1,6,2,1,5,1,3,4,2,3,3,5,4,4,1,2,5,0
2022-09-24 18:02:46,2022-09-24 18:05:06,0,134.173.192.64,100,139,1,2022-09-24 18:05:07,R_25lKzwlOikahvkl,,,,,34.1091,-117.7126,anonymous,EN,1301,1,7,2,2,2,1,5,6,6,6,6,4,5,2,1,2,2,0
2022-09-24 18:11:39,2022-09-24 18:17:53,0,134.173.192.69,100,373,1,2022-09-24 18:17:53,R_27JCmWSUXAJkyO2,,,,,34.1091,-117.7126,anonymous,EN,1304,1,6,2,2,6,2,1,5,2,4,4,4,4,3,2,2,5,0
2022-09-25 22:20:28,2022-09-25 22:22:12,0,134.173.248.6,100,104,1,2022-09-25 22:22:12,R_2QiAyauo7OVQZIQ,,,,,34.1091,-117.7126,anonymous,EN,1303,1,7,1,2,6,3,1,5,2,3,4,4,4,3,2,3,4,1
2022-09-26 01:10:41,2022-09-26 01:12:36,0,134.173.192.68,100,115,1,2022-09-26 01:12:36,R_1ikSA69fk4GifRK,,,,,34.1091,-117.7126,anonymous,EN,1305,1,7,2,2,5,2,3,6,2,2,2,4,5,3,2,4,4,1
2022-09-21 00:00:43,2022-09-21 00:00:51,0,134.173.192.64,15,7,0,2022-09-28 00:00:51,R_1GMtTSTSHkm11g5,,,,,,,anonymous,EN,1703,1,,,,,,,,,,,,,,,,,
2022-10-01 19:31:06,2022-10-01 19:33:34,0,134.173.192.64,100,148,1,2022-10-01 19:33:34,R_1r3zNvgoVhw7Kf6,,,,,34.1091,-117.7126,anonymous,EN,1905,1,5,2,1,5,5,2,6,2,4,5,4,5,3,2,3,5,0
2022-10-01 19:33:17,2022-10-01 19:37:18,0,134.173.248.4,100,241,1,2022-10-01 19:37:18,R_2QKYE4QUWsgJywK,,,,,34.1091,-117.7126,anonymous,EN,1902,1,5,2,1,5,2,2,6,1,3,3,3,5,4,3,3,5,0
2022-10-01 19:33:18,2022-10-01 19:42:01,0,185.230.126.11,100,523,1,2022-10-01 19:42:02,R_3GlVTCbg8SWwwcF,,,,,34.0544,-118.2441,anonymous,EN,1901,1,5,2,1,5,4,2,5,2,5,5,5,5,3,2,3,5,1
2022-10-01 19:41:36,2022-10-01 19:45:01,0,134.173.192.69,100,205,1,2022-10-01 19:45:01,R_ToKtEk2VSkmTKM1,,,,,34.1091,-117.7126,anonymous,EN,1903,1,5,2,10,5,4,2,5,1,2,1,1,6,4,2,3,5,0
2022-10-12 14:05:50,2022-10-12 14:07:45,0,134.173.248.16,100,115,1,2022-10-12 14:07:45,R_2zIwE4tCXYTBzj5,,,,,34.1091,-117.7126,anonymous,EN,1004,1,4,2,1,6,3,1,5,2,5,5,4,4,2,3,3,6,0
2022-10-12 14:29:31,2022-10-12 14:33:02,0,134.173.248.16,100,210,1,2022-10-12 14:33:02,R_3Oe9IDPo0ldOfSd,,,,,34.1091,-117.7126,anonymous,EN,1003,1,4,2,1,5,1,2,6,2,6,6,5,4,3,2,3,4,1
2022-10-12 13:50:28,2022-10-12 14:39:56,0,134.173.248.16,100,2967,1,2022-10-12 14:39:56,R_2BeNneoEOSyz4Wp,,,,,34.1091,-117.7126,anonymous,EN,1002,1,4,2,1,6,3,1,4,1,5,5,3,4,4,3,2,5,0
2022-10-11 21:07:12,2022-10-11 21:10:17,0,134.173.192.68,35,184,0,2022-10-18 21:10:20,R_1IoXIvobqvAGwky,,,,,,,anonymous,EN,1302,1,7,2,2,6,,,,,,,,,,,,,
2022-10-19 16:52:18,2022-10-19 16:54:51,0,134.173.192.68,100,152,1,2022-10-19 16:54:51,R_3m37LqapaNTjBpf,,,,,34.1091,-117.7126,anonymous,EN,1203,1,4,2,1,5,2,2,5,2,6,6,4,2,4,1,2,4,1
2022-10-19 16:52:49,2022-10-19 16:54:56,0,172.58.31.16,100,126,1,2022-10-19 16:54:59,R_1GWHTCQnwmBmJ4Q,,,,,33.9249,-117.4592,anonymous,EN,1201,1,4,1,2,6,4,1,5,1,3,4,4,5,4,2,3,6,0
2022-10-19 16:53:04,2022-10-19 16:56:09,0,174.243.208.32,100,184,1,2022-10-19 16:56:09,R_2BkvS85Vndu9Y0V,,,,,33.8351,-117.8652,anonymous,EN,1204,1,4,2,2,5,3,3,5,2,3,3,4,4,3,1,2,4,0
2022-10-19 17:06:42,2022-10-19 17:09:33,0,134.173.248.6,100,170,1,2022-10-19 17:09:33,R_27CCrakSCOhnsz0,,,,,34.1091,-117.7126,anonymous,EN,1202,1,4,2,2,4,5,1,3,2,5,5,4,2,4,0,3,3,0
2022-10-19 22:52:54,2022-10-19 22:55:11,0,172.58.31.186,100,137,1,2022-10-19 22:55:11,R_1i8MRSmMFY8tVij,,,,,33.9249,-117.4592,anonymous,EN,1001,1,4,2,1,5,3,2,6,2,5,5,4,4,3,3,2,5,0
2022-10-29 15:42:01,2022-10-29 15:43:46,0,134.173.248.16,100,105,1,2022-10-29 15:43:47,R_1n1jXRColmGeRO7,,,,,34.1091,-117.7126,anonymous,EN,1405,1,5,2,2,6,5,1,6,2,6,6,4,5,3,2,1,5,1
2022-11-02 15:49:59,2022-11-02 15:51:34,0,134.173.248.6,100,94,1,2022-11-02 15:51:34,R_12gbRywHBqBqtwV,,,,,34.1091,-117.7126,anonymous,EN,1403,1,5,2,2,5,1,2,6,2,2,2,5,4,4,2,3,5,1
2022-11-02 17:12:58,2022-11-02 17:15:14,0,172.58.27.98,100,136,1,2022-11-02 17:15:14,R_3J3JMg7w7A7QQzr,,,,,34.0544,-118.244,anonymous,EN,1404,1,5,2,3,4,5,2,5,2,5,2,4,6,4,2,2,4,0
2022-11-08 11:25:34,2022-11-08 11:27:37,0,108.185.59.102,100,122,1,2022-11-08 11:27:37,R_1Q0nVwGzbqMz1J6,,,,,34.0765,-117.628,anonymous,EN,1801,1,4,2,4,1,1,4,5,2,6,6,5,4,2,2,1,3,1
2022-11-08 13:10:48,2022-11-08 13:12:39,0,134.173.92.6,100,110,1,2022-11-08 13:12:39,R_3EMX7FYtJufZRHD,,,,,34.1091,-117.7126,anonymous,EN,1802,1,4,2,4,1,5,5,6,4,6,5,4,2,3,1,4,2,0
2022-11-09 18:43:27,2022-11-09 18:45:57,0,134.173.248.16,100,149,1,2022-11-09 18:45:57,R_20VbPoIHYnIc7v0,,,,,34.1091,-117.7126,anonymous,EN,1803,1,4,2,4,2,1,4,3,6,5,5,2,2,1,2,1,4,0
2022-11-09 18:43:55,2022-11-09 18:45:57,0,157.242.208.60,100,121,1,2022-11-09 18:45:57,R_UKpWq4TMRg8anbb,,,,,33.956,-118.3887,anonymous,EN,1804,1,4,2,4,2,3,2,3,3,3,3,5,4,5,2,3,6,0
