StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,code,gameplay,groupsize,experience,roundnum,playagain,complexity,enjoy,speed,effort,anxious,stressed,compsuccess,difficulty,aesthetics,aestheticscare,enjoymost,theme,win
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter the code provided to you. If you do not remember it, reach out to your leader before you continue.",The questions in this survey are for Codenames. Did you play it?,How many people played in your group?,Had you played this game before playing with your recent group?,How many rounds of this game did you play with your group?,How likely are you to play this game again?,"Compared with other games, how would you rate the complexity of this game?",To what extent did you like playing this game?,To what extent do you agree that playing this game required speed?,To what extent do you agree that playing this game required mental effort?,To what extent do you agree that playing this game among others make you feel anxious?,To what extent do you agree that playing this game among others make you feel stressed?,"Compared with the other players in your group, how would you rate your ability to succeed at playing this game?","In terms of your own ability, how would you describe the difficulty of playing this game?",How would you characterize the aesthetics (look and feel) of this game?,To what extent do you care about the aesthetics (look and feel) of a game?,Which of the following best describes what you liked most about playing this game?,To what extent did you like the theme of this game?,Did you win while playing this game with your group?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2022-09-28 03:14:49,2022-09-28 03:17:07,IP Address,134.173.248.4,100,137,True,2022-09-28 03:17:07,R_3feBsvkdb9M9p3N,,,,,34.1091,-117.7126,anonymous,EN,1101,Yes,4,Yes,3,Extremely likely,Slightly above average,Liked a great deal,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Slightly below average,Slightly difficult,Good,Slightly important,challenge,Liked a great deal,Yes
2022-09-28 03:17:57,2022-09-28 03:20:29,IP Address,134.173.248.6,100,151,True,2022-09-28 03:20:29,R_3MuSiIS6WERNTTs,,,,,34.1091,-117.7126,anonymous,EN,1102,Yes,4,Yes,3,Extremely likely,Slightly above average,Liked a great deal,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Slightly below average,Slightly difficult,Average,Slightly important,fellowship,Liked a great deal,Yes
2022-09-29 21:31:36,2022-09-29 21:36:09,IP Address,172.58.31.100,100,272,True,2022-09-29 21:36:10,R_1IMhK7l0rqFYtXE,,,,,34.0062,-117.4432,anonymous,EN,1103,Yes,4,Yes,2,Extremely likely,Moderately below average,Disliked a little,Disagree,Somewhat agree,Disagree,Somewhat agree,Slightly above average,Moderately easy,Average,Moderately important,challenge,Disliked a little,Yes
2022-09-30 10:17:14,2022-09-30 10:18:52,IP Address,134.173.248.16,100,97,True,2022-09-30 10:18:52,R_ZpzKWzhUoP7rMv7,,,,,34.1091,-117.7126,anonymous,EN,1104,Yes,4,Yes,3,Extremely likely,Moderately above average,Liked a great deal,Somewhat disagree,Agree,Disagree,Somewhat disagree,Slightly below average,Moderately difficult,Good,Slightly important,challenge,Liked a moderate amount,Yes
2022-10-11 16:04:18,2022-10-11 16:06:03,IP Address,134.173.92.8,100,105,True,2022-10-11 16:06:03,R_245HNyNDFwrrdcV,,,,,34.1091,-117.7126,anonymous,EN,1404,Yes,6,Yes,2,Extremely likely,Moderately above average,Liked a moderate amount,Disagree,Strongly agree,Somewhat disagree,Somewhat agree,Slightly above average,Slightly difficult,Average,Slightly important,challenge,Liked a great deal,Yes
2022-10-11 16:03:49,2022-10-11 16:09:44,IP Address,134.173.248.6,100,354,True,2022-10-11 16:09:44,R_3njTmLNyotMdyNj,,,,,34.1091,-117.7126,anonymous,EN,1405,Yes,6,No,2,Extremely likely,Slightly below average,Liked a great deal,Strongly disagree,Agree,Disagree,Somewhat disagree,Slightly above average,Slightly easy,Good,Very important,fellowship,Liked a great deal,Yes
2022-10-11 19:11:01,2022-10-11 19:13:40,IP Address,134.173.248.6,100,159,True,2022-10-11 19:13:40,R_1NrKqF4G97fe1HQ,,,,,34.1091,-117.7126,anonymous,EN,1403,Yes,6,No,2,Extremely likely,Slightly above average,Liked a great deal,Strongly disagree,Strongly agree,Agree,Agree,Far above average,Slightly difficult,Average,Moderately important,competition,Liked a great deal,Yes
2022-10-24 17:51:48,2022-10-24 17:53:25,IP Address,134.173.92.8,100,97,True,2022-10-24 17:53:25,R_UEiLxkqYckbZ7S9,,,,,34.1091,-117.7126,anonymous,EN,1003,Yes,4,Yes,2,Extremely likely,Slightly above average,Liked a great deal,Strongly disagree,Agree,Strongly disagree,Disagree,Slightly above average,Moderately difficult,Average,Moderately important,fellowship,Liked a moderate amount,No
