StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,code,gameplay,groupsize,experience,roundnum,playagain,complexity,enjoy,speed,effort,anxious,stressed,compsuccess,difficulty,aesthetics,aestheticscare,enjoymost,theme,win
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter the code provided to you. If you do not remember it, reach out to your leader before you continue.",The questions in this survey are for Codenames. Did you play it?,How many people played in your group?,Had you played this game before playing with your recent group?,How many rounds of this game did you play with your group?,How likely are you to play this game again?,"Compared with other games, how would you rate the complexity of this game?",To what extent did you like playing this game?,To what extent do you agree that playing this game required speed?,To what extent do you agree that playing this game required mental effort?,To what extent do you agree that playing this game among others make you feel anxious?,To what extent do you agree that playing this game among others make you feel stressed?,"Compared with the other players in your group, how would you rate your ability to succeed at playing this game?","In terms of your own ability, how would you describe the difficulty of playing this game?",How would you characterize the aesthetics (look and feel) of this game?,To what extent do you care about the aesthetics (look and feel) of a game?,Which of the following best describes what you liked most about playing this game?,To what extent did you like the theme of this game?,Did you win while playing this game with your group?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2022-09-28 03:14:49,2022-09-28 03:17:07,0,134.173.248.4,100,137,1,2022-09-28 03:17:07,R_3feBsvkdb9M9p3N,,,,,34.1091,-117.7126,anonymous,EN,1101,1,4,1,3,6,4,1,3,1,4,3,3,4,4,1,3,6,1
2022-09-28 03:17:57,2022-09-28 03:20:29,0,134.173.248.6,100,151,1,2022-09-28 03:20:29,R_3MuSiIS6WERNTTs,,,,,34.1091,-117.7126,anonymous,EN,1102,1,4,1,3,6,4,1,4,1,4,4,3,4,3,1,2,6,1
2022-09-29 21:31:36,2022-09-29 21:36:09,0,172.58.31.100,100,272,1,2022-09-29 21:36:10,R_1IMhK7l0rqFYtXE,,,,,34.0062,-117.4432,anonymous,EN,1103,1,4,1,2,6,2,4,5,3,5,3,4,2,3,2,3,3,1
2022-09-30 10:17:14,2022-09-30 10:18:52,0,134.173.248.16,100,97,1,2022-09-30 10:18:52,R_ZpzKWzhUoP7rMv7,,,,,34.1091,-117.7126,anonymous,EN,1104,1,4,1,3,6,5,1,4,2,5,4,3,5,4,1,3,5,1
2022-10-11 16:04:18,2022-10-11 16:06:03,0,134.173.92.8,100,105,1,2022-10-11 16:06:03,R_245HNyNDFwrrdcV,,,,,34.1091,-117.7126,anonymous,EN,1404,1,6,1,2,6,5,2,5,1,4,3,4,4,3,1,3,6,1
2022-10-11 16:03:49,2022-10-11 16:09:44,0,134.173.248.6,100,354,1,2022-10-11 16:09:44,R_3njTmLNyotMdyNj,,,,,34.1091,-117.7126,anonymous,EN,1405,1,6,2,2,6,3,1,6,2,5,4,4,3,4,3,2,6,1
2022-10-11 19:11:01,2022-10-11 19:13:40,0,134.173.248.6,100,159,1,2022-10-11 19:13:40,R_1NrKqF4G97fe1HQ,,,,,34.1091,-117.7126,anonymous,EN,1403,1,6,2,2,6,4,1,6,1,2,2,6,4,3,2,4,6,1
2022-10-24 17:51:48,2022-10-24 17:53:25,0,134.173.92.8,100,97,1,2022-10-24 17:53:25,R_UEiLxkqYckbZ7S9,,,,,34.1091,-117.7126,anonymous,EN,1003,1,4,1,2,6,4,1,6,2,6,5,4,5,3,2,2,5,0
