StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,code,gameplay,groupsize,experience,roundnum,playagain,complexity,enjoy,speed,effort,anxious,stressed,compsuccess,difficulty,aesthetics,aestheticscare,enjoymost,theme,win
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter the code provided to you. If you do not remember it, reach out to your leader before you continue.",The questions in this survey are for Love Letter. Did you play it?,How many people played in your group?,Had you played this game before playing with your recent group?,How many rounds of this game did you play with your group?,How likely are you to play this game again?,"Compared with other games, how would you rate the complexity of this game?",To what extent did you like playing this game?,To what extent do you agree that playing this game required speed?,To what extent do you agree that playing this game required mental effort?,To what extent do you agree that playing this game among others make you feel anxious?,To what extent do you agree that playing this game among others make you feel stressed?,"Compared with the other players in your group, how would you rate your ability to succeed at playing this game?","In terms of your own ability, how would you describe the difficulty of playing this game?",How would you characterize the aesthetics (look and feel) of this game?,To what extent do you care about the aesthetics (look and feel) of a game?,Which of the following best describes what you liked most about playing this game?,To what extent did you like the theme of this game?,Did you win while playing this game with your group?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2022-09-21 17:29:20,2022-09-21 17:32:03,IP Address,134.173.192.68,100,162,True,2022-09-21 17:32:04,R_2ROphiZbdV7O1rg,,,,,34.1091,-117.7126,anonymous,EN,1303,Yes,6,No,2,Moderately likely,Slightly below average,Liked a moderate amount,Disagree,Somewhat agree,Disagree,Disagree,Slightly above average,Moderately easy,Excellent,Very important,fellowship,Liked a great deal,No
2022-09-21 17:56:48,2022-09-21 17:59:09,IP Address,107.77.228.4,100,141,True,2022-09-21 17:59:09,R_XSvEHSvZPyy6nlv,,,,,34.0614,-118.3072,anonymous,EN,1301,Yes,6,No,5,Moderately likely,Moderately below average,Liked a moderate amount,Disagree,Agree,Somewhat disagree,Somewhat disagree,Slightly above average,Moderately easy,Average,Slightly important,discovery,Liked a little,No
2022-09-21 21:52:45,2022-09-21 21:55:32,IP Address,134.173.92.8,100,166,True,2022-09-21 21:55:32,R_3PtAXgurl2BUw7L,,,,,34.1091,-117.7126,anonymous,EN,1004,Yes,4,No,9,Slightly likely,Slightly below average,Liked a moderate amount,Disagree,Somewhat agree,Disagree,Disagree,Slightly below average,Moderately easy,Poor,Very important,fellowship,Liked a moderate amount,No
2022-09-21 21:52:41,2022-09-21 21:56:02,IP Address,134.173.92.8,100,201,True,2022-09-21 21:56:02,R_2TS5VnCyqyBKq36,,,,,34.1091,-117.7126,anonymous,EN,1003,Yes,4,No,9,Extremely unlikely,Moderately below average,Disliked a moderate amount,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Slightly above average,Moderately easy,Terrible,Slightly important,fellowship,Disliked a moderate amount,Yes
2022-09-21 21:52:57,2022-09-21 21:56:43,IP Address,172.58.28.35,100,225,True,2022-09-21 21:56:43,R_UPBcR9RGOBnpiff,,,,,34.0349,-117.6185,anonymous,EN,1001,Yes,4,No,9,Slightly likely,Slightly above average,Liked a moderate amount,Disagree,Agree,Disagree,Somewhat disagree,Slightly above average,Extremely easy,Average,Very important,challenge,Liked a little,No
2022-09-21 21:52:25,2022-09-21 21:58:28,IP Address,134.173.92.8,100,362,True,2022-09-21 21:58:28,R_2E6oRWoTBT16YWg,,,,,34.1091,-117.7126,anonymous,EN,1002,Yes,4,No,9,Slightly likely,Slightly below average,Liked a little,Somewhat disagree,Agree,Disagree,Strongly disagree,Slightly below average,Moderately easy,Average,Very important,fellowship,Disliked a little,No
2022-09-22 10:59:55,2022-09-22 11:03:00,IP Address,134.173.28.127,100,184,True,2022-09-22 11:03:00,R_33eUyBovqKkpwHp,,,,,34.1091,-117.7126,anonymous,EN,1305,Yes,6,No,3,Slightly likely,Moderately below average,Liked a moderate amount,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Slightly above average,Slightly easy,Good,Moderately important,fellowship,Liked a little,No
2022-09-22 16:10:10,2022-09-22 16:12:05,IP Address,134.173.192.64,100,115,True,2022-09-22 16:12:06,R_1KkGaPq0RCIRNPu,,,,,34.1091,-117.7126,anonymous,EN,1304,Yes,6,No,4,Moderately likely,Slightly below average,Liked a moderate amount,Somewhat agree,Agree,Strongly disagree,Disagree,Moderately below average,Slightly easy,Excellent,Very important,fellowship,Liked a great deal,No
2022-09-22 18:48:47,2022-09-22 18:51:27,IP Address,134.173.192.64,100,160,True,2022-09-22 18:51:27,R_3knYOkF1xMG3Puh,,,,,34.1091,-117.7126,anonymous,EN,1302,Yes,6,No,1,Slightly likely,Moderately below average,Liked a moderate amount,Disagree,Somewhat agree,Disagree,Disagree,Slightly below average,Moderately easy,Good,Moderately important,competition,Liked a little,No
2022-09-22 20:16:04,2022-09-22 20:18:48,IP Address,134.173.192.70,100,163,True,2022-09-22 20:18:48,R_24tIi13jvAQFXnP,,,,,34.1091,-117.7126,anonymous,EN,1502,Yes,5,No,3,Moderately unlikely,Moderately below average,Liked a little,Strongly disagree,Disagree,Disagree,Strongly disagree,Slightly below average,Extremely easy,Good,Very important,fellowship,Liked a little,No
2022-09-22 20:16:21,2022-09-22 20:18:55,IP Address,134.173.192.69,100,154,True,2022-09-22 20:18:56,R_2zbSEadt8EjwaZl,,,,,34.1091,-117.7126,anonymous,EN,1501,Yes,5,No,3,Moderately unlikely,Slightly above average,Liked a moderate amount,Somewhat agree,Somewhat agree,Disagree,Disagree,Moderately above average,Moderately easy,Average,Slightly important,competition,Liked a little,Yes
2022-09-22 20:16:52,2022-09-22 20:19:37,IP Address,134.173.192.69,100,164,True,2022-09-22 20:19:38,R_3PLZZayLf1Ikh9G,,,,,34.1091,-117.7126,anonymous,EN,1503,Yes,5,Yes,3,Extremely likely,Moderately below average,Liked a great deal,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Far above average,Moderately easy,Excellent,Very important,challenge,Liked a great deal,Yes
2022-09-22 20:15:51,2022-09-22 20:19:54,IP Address,134.173.192.64,100,243,True,2022-09-22 20:19:55,R_28Tgzuo7kgC0NSc,,,,,34.1091,-117.7126,anonymous,EN,1504,Yes,5,No,3,Slightly likely,Moderately below average,Liked a moderate amount,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Slightly below average,Moderately easy,Good,Slightly important,fellowship,Liked a little,No
2022-09-30 16:18:32,2022-09-30 16:25:46,IP Address,134.173.248.6,100,434,True,2022-09-30 16:25:47,R_3P6aDvQo9ex1smJ,,,,,34.1091,-117.7126,anonymous,EN,2002,Yes,4,No,5,Extremely unlikely,Slightly above average,Disliked a moderate amount,Disagree,Strongly agree,Disagree,Agree,Slightly below average,Slightly difficult,Average,Moderately important,fellowship,Disliked a moderate amount,No
