StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,code,gameplay,groupsize,experience,roundnum,playagain,complexity,enjoy,speed,effort,anxious,stressed,compsuccess,difficulty,aesthetics,aestheticscare,enjoymost,theme,win
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter the code provided to you. If you do not remember it, reach out to your leader before you continue.",The questions in this survey are for Taco Cat Goat Cheese Pizza. Did you play it?,How many people played in your group?,Had you played this game before playing with your recent group?,How many rounds of this game did you play with your group?,How likely are you to play this game again?,"Compared with other games, how would you rate the complexity of this game?",To what extent did you like playing this game?,To what extent do you agree that playing this game required speed?,To what extent do you agree that playing this game required mental effort?,To what extent do you agree that playing this game among others make you feel anxious?,To what extent do you agree that playing this game among others make you feel stressed?,"Compared with the other players in your group, how would you rate your ability to succeed at playing this game?","In terms of your own ability, how would you describe the difficulty of playing this game?",How would you characterize the aesthetics (look and feel) of this game?,To what extent do you care about the aesthetics (look and feel) of a game?,Which of the following best describes what you liked most about playing this game?,To what extent did you like the theme of this game?,Did you win while playing this game with your group?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2022-09-17 12:56:04,2022-09-17 12:57:24,IP Address,134.173.192.64,100,80,True,2022-09-17 12:57:25,R_1FODMjTvyhHjGX3,,,,,34.1091,-117.7126,anonymous,EN,1904,Yes,5,No,1,Moderately likely,Slightly below average,Liked a moderate amount,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Slightly above average,Moderately easy,Good,Moderately important,fellowship,Liked a moderate amount,Yes
2022-09-17 12:55:15,2022-09-17 12:58:11,IP Address,134.173.192.64,100,175,True,2022-09-17 12:58:11,R_3NQDWiKPAWLrNEW,,,,,34.1091,-117.7126,anonymous,EN,1905,Yes,5,No,1,Moderately unlikely,Moderately below average,Liked a moderate amount,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Moderately below average,Slightly easy,Good,Slightly important,competition,Liked a little,Yes
2022-09-17 12:53:55,2022-09-17 12:58:22,IP Address,134.173.192.68,100,267,True,2022-09-17 12:58:22,R_1FDPuEZbR5zGVvs,,,,,34.1091,-117.7126,anonymous,EN,1903,Yes,5,No,1,Moderately unlikely,Slightly above average,Liked a little,Strongly agree,Agree,Agree,Agree,Far below average,Moderately easy,Good,Slightly important,challenge,Liked a little,No
2022-09-17 12:56:34,2022-09-17 12:59:08,IP Address,134.173.192.69,100,154,True,2022-09-17 12:59:08,R_2ZK2NbFrOUFHvYs,,,,,34.1091,-117.7126,anonymous,EN,1902,Yes,5,No,1,Moderately unlikely,Moderately below average,Liked a moderate amount,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Slightly above average,Slightly easy,Good,Moderately important,discovery,Liked a moderate amount,No
2022-09-17 12:55:19,2022-09-17 12:59:23,IP Address,134.173.248.6,100,244,True,2022-09-17 12:59:23,R_2zjN0p1i2EO0s06,,,,,34.1091,-117.7126,anonymous,EN,1901,Yes,5,No,1,Slightly unlikely,Moderately above average,Liked a moderate amount,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly above average,Moderately easy,Good,Very important,competition,Liked a little,No
2022-09-20 21:25:09,2022-09-20 21:27:10,IP Address,134.173.192.68,100,121,True,2022-09-20 21:27:10,R_2S0LDUsz87ipyVr,,,,,34.1091,-117.7126,anonymous,EN,1701,Yes,6,No,3,Moderately likely,Slightly below average,Liked a great deal,Strongly agree,Agree,Agree,Somewhat agree,Slightly above average,Slightly easy,Good,Moderately important,fellowship,Liked a little,No
2022-09-20 21:25:09,2022-09-20 21:27:28,IP Address,134.173.192.69,100,138,True,2022-09-20 21:27:28,R_25GUvuCH5woVFyW,,,,,34.1091,-117.7126,anonymous,EN,Shalini Shyamkumar,Yes,6,No,3,Moderately unlikely,Slightly below average,Liked a little,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Slightly above average,Slightly easy,Average,Moderately important,challenge,Disliked a little,No
2022-09-20 21:25:15,2022-09-20 21:27:47,IP Address,134.173.248.16,100,152,True,2022-09-20 21:27:47,R_3k5PnPKvk5CYLRs,,,,,34.1091,-117.7126,anonymous,EN,1704,Yes,6,No,3,Extremely unlikely,Far below average,Disliked a great deal,Agree,Somewhat agree,Disagree,Disagree,Moderately above average,Moderately easy,Good,Moderately important,discovery,Disliked a moderate amount,No
