StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,code,gameplay,groupsize,experience,roundnum,playagain,complexity,enjoy,speed,effort,anxious,stressed,compsuccess,difficulty,aesthetics,aestheticscare,enjoymost,theme,win
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Enter the code provided to you. If you do not remember it, reach out to your leader before you continue.",The questions in this survey are for Taco Cat Goat Cheese Pizza. Did you play it?,How many people played in your group?,Had you played this game before playing with your recent group?,How many rounds of this game did you play with your group?,How likely are you to play this game again?,"Compared with other games, how would you rate the complexity of this game?",To what extent did you like playing this game?,To what extent do you agree that playing this game required speed?,To what extent do you agree that playing this game required mental effort?,To what extent do you agree that playing this game among others make you feel anxious?,To what extent do you agree that playing this game among others make you feel stressed?,"Compared with the other players in your group, how would you rate your ability to succeed at playing this game?","In terms of your own ability, how would you describe the difficulty of playing this game?",How would you characterize the aesthetics (look and feel) of this game?,To what extent do you care about the aesthetics (look and feel) of a game?,Which of the following best describes what you liked most about playing this game?,To what extent did you like the theme of this game?,Did you win while playing this game with your group?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2022-09-17 12:56:04,2022-09-17 12:57:24,0,134.173.192.64,100,80,1,2022-09-17 12:57:25,R_1FODMjTvyhHjGX3,,,,,34.1091,-117.7126,anonymous,EN,1904,1,5,2,1,5,3,2,2,3,4,3,4,2,4,2,2,5,1
2022-09-17 12:55:15,2022-09-17 12:58:11,0,134.173.192.64,100,175,1,2022-09-17 12:58:11,R_3NQDWiKPAWLrNEW,,,,,34.1091,-117.7126,anonymous,EN,1905,1,5,2,1,2,2,2,1,4,4,3,2,3,4,1,4,4,1
2022-09-17 12:53:55,2022-09-17 12:58:22,0,134.173.192.68,100,267,1,2022-09-17 12:58:22,R_1FDPuEZbR5zGVvs,,,,,34.1091,-117.7126,anonymous,EN,1903,1,5,2,1,2,4,3,1,2,2,2,1,2,4,1,3,4,0
2022-09-17 12:56:34,2022-09-17 12:59:08,0,134.173.192.69,100,154,1,2022-09-17 12:59:08,R_2ZK2NbFrOUFHvYs,,,,,34.1091,-117.7126,anonymous,EN,1902,1,5,2,1,2,2,2,1,4,3,3,4,3,4,2,1,5,0
2022-09-17 12:55:19,2022-09-17 12:59:23,0,134.173.248.6,100,244,1,2022-09-17 12:59:23,R_2zjN0p1i2EO0s06,,,,,34.1091,-117.7126,anonymous,EN,1901,1,5,2,1,3,5,2,2,3,3,3,4,2,4,3,4,4,0
2022-09-20 21:25:09,2022-09-20 21:27:10,0,134.173.192.68,100,121,1,2022-09-20 21:27:10,R_2S0LDUsz87ipyVr,,,,,34.1091,-117.7126,anonymous,EN,1701,1,6,2,3,5,3,1,1,2,2,3,4,3,4,2,2,4,0
2022-09-20 21:25:09,2022-09-20 21:27:28,0,134.173.192.69,100,138,1,2022-09-20 21:27:28,R_25GUvuCH5woVFyW,,,,,34.1091,-117.7126,anonymous,EN,Shalini Shyamkumar,1,6,2,3,2,3,3,1,3,3,1,4,3,3,2,3,3,0
2022-09-20 21:25:15,2022-09-20 21:27:47,0,134.173.248.16,100,152,1,2022-09-20 21:27:47,R_3k5PnPKvk5CYLRs,,,,,34.1091,-117.7126,anonymous,EN,1704,1,6,2,3,1,1,6,2,3,5,5,5,2,4,2,1,2,0
